"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"496","apprenticeship",25680,23,34,"female","2",1,528,6.269096,-0.8778908,"none","male"
"497","apprenticeship",207,1,29,"female","4",1,513,6.24027584517077,-0.970859922252663,"female-real","male"
"498","apprenticeship",13735,12,162,"female","4",1,882,6.78219205600679,1.50211870987791,"male-real","male"
"499","apprenticeship",30064,27,5,"female","7",1,704,6.556778,-1.417112,"male-real","male"
"500","apprenticeship",5596,5,136,"female","4",1,961,6.86797440897029,1.01867927803284,"female-real","male"
"501","apprenticeship",12540,11,144,"female","7",1,515,6.24416690066374,1.16742987244671,"male-real","male"
"502","apprenticeship",18329,16,169,"female","4",1,1053,6.959399,1.632275,"male-real","male"
"503","apprenticeship",13934,13,9,"female","2",1,592,6.38350663488401,-1.34273640828734,"none","male"
"504","apprenticeship",21433,19,86,"female","2",1,539,6.289716,0.08898806,"none","male"
"505","apprenticeship",3749,4,36,"male","7",1,670,6.50727771238501,-0.840703152140527,"female-real","male"
"506","apprenticeship",3748,4,36,"male","7",1,670,6.50727771238501,-0.840703152140527,"female-real","male"
"507","apprenticeship",29984,26,184,"male","4",1,670,6.507278,1.911183,"male-real","male"
"508","apprenticeship",7753,7,96,"female","2",1,653,6.48157712927643,0.274926305963493,"none","male"
"509","apprenticeship",208,1,29,"female","4",1,513,6.24027584517077,-0.970859922252663,"female-real","male"
"510","apprenticeship",13929,13,8,"female","7",1,753,6.62406522779989,-1.36133023258907,"male-real","male"
"511","apprenticeship",20534,18,124,"female","4",1,674,6.51323,0.7955534,"male-real","male"
"512","apprenticeship",13736,12,162,"female","4",1,882,6.78219205600679,1.50211870987791,"male-real","male"
"513","apprenticeship",9347,9,13,"male","2",0,524,6.26149168432104,-1.2683611110804,"none","male"
"514","apprenticeship",30533,27,61,"female","2",1,717,6.575076,-0.3758575,"none","male"
"515","apprenticeship",9348,9,13,"male","2",0,524,6.26149168432104,-1.2683611110804,"none","male"
"516","apprenticeship",13044,12,45,"female","2",1,602,6.40025744530882,-0.673358733424924,"none","male"
"517","apprenticeship",23781,21,92,"female","7",1,518,6.249975,0.200551,"male-real","male"
